DATE;GS10_CPIAUCSL_PC1;Acum;Anualizado
2013-04-01;0,62119;0,62119;0,0517658333333333
2013-05-01;0,53961;1,1608;0,0967333333333333
2013-06-01;0,58421;1,74501;0,1454175
2013-07-01;0,69453;2,43954;0,203295
2013-08-01;1,20119;3,64073;0,303394166666667
2013-09-01;1,71527;5,356;0,446333333333333
2013-10-01;1,74320;7,0992;0,5916
2013-11-01;1,48713;8,58633;0,7155275
2013-12-01;1,38716;9,97349;0,831124166666667
2014-01-01;1,30224;11,27573;0,939644166666667
2014-02-01;1,58953;12,86526;1,072105
2014-03-01;1,10731;13,97257;1,16438083333333
2014-04-01;0,69487;14,66744;1,22228666666667
2014-05-01;0,39305;15,06049;1,25504083333333
2014-06-01;0,54102;15,60151;1,30012583333333
2014-07-01;0,56576;16,16727;1,3472725
2014-08-01;0,70490;16,87217;1,40601416666667
2014-09-01;0,84595;17,71812;1,47651
2014-10-01;0,69046;18,40858;1,53404833333333
2014-11-01;1,09848;19,50706;1,62558833333333
2014-12-01;1,55688;21,06394;1,75532833333333
2015-01-01;2,10993;23,17387;1,93115583333333
2015-02-01;2,06703;25,2409;2,10340833333333
2015-03-01;2,06203;27,30293;2,27524416666667
2015-04-01;2,04403;29,34696;2,44558
2015-05-01;2,16497;31,51193;2,62599416666667
2015-06-01;2,18043;33,69236;2,80769666666667
2015-07-01;2,09431;35,78667;2,9822225
2015-08-01;1,92870;37,71537;3,1429475
2015-09-01;2,16116;39,87653;3,32304416666667
2015-10-01;1,94238;41,81891;3,48490916666667
2015-11-01;1,82368;43,64259;3,6368825
2015-12-01;1,60128;45,24387;3,7703225
2016-01-01;0,85250;46,09637;3,84136416666667
2016-02-01;0,93272;47,02909;3,91909083333333
2016-03-01;0,99838;48,02747;4,00228916666667
2016-04-01;0,63737;48,66484;4,05540333333333
2016-05-01;0,73152;49,39636;4,11636333333333
2016-06-01;0,56071;49,95707;4,16308916666667
2016-07-01;0,63164;50,58871;4,21572583333333
2016-08-01;0,50468;51,09339;4,2577825
2016-09-01;0,08136;51,17475;4,2645625
2016-10-01;0,07408;51,24883;4,27073583333333
2016-11-01;0,45567;51,7045;4,30870833333333
2016-12-01;0,43920;52,1437;4,34530833333333
2017-01-01;-0,08039;52,06331;4,33860916666667
2017-02-01;-0,39036;51,67295;4,30607916666667
