Year,DFII10,DFCumSum
2003,2.05852,2.05852
2004,1.8310799999999998,3.8895999999999997
2005,1.81412,5.70372
2006,2.31128,8.015
2007,2.286613545816733,10.301613545816734
2008,1.7707171314741035,12.072330677290838
2009,1.6583599999999998,13.730690677290838
2010,1.151394422310757,14.882085099601595
2011,0.54976,15.431845099601595
2012,-0.4754,14.956445099601595
2013,0.07384,15.030285099601596
2014,0.4422,15.472485099601595
2015,0.4520318725099602,15.924516972111556
2016,0.26816,16.192676972111556
2017,0.4566,16.649276972111558
2018,0.8346184738955823,17.48389544600714
2019,0.40084,17.884735446007138
2020,-0.6016733067729084,17.28306213923423
2021,-0.914780876494024,16.368281262740204
2022,0.42859437751004015,16.796875640250246
2023,1.3703571428571428,18.167232783107387
